source_id,name,language,cca,coverage,covered_area,url
1,Ars Technica,en,US,global,world,http://www.arstechnica.com/
2,La Nación Argentina,es,AR,global,world,http://www.lanacion.com.ar/
3,Fortune,en,US,global,world,http://fortune.com/
4,CNBC,en,US,global,world,http://www.cnbc.com/
5,TheStreet,en,US,global,world,http://www.thestreet.com/
6,The Verge,en,US,national,usa,http://www.theverge.com/
7,FiveThirtyEight,en,US,global,world,http://fivethirtyeight.com/
8,The New York Times,en,US,national,usa,http://www.nytimes.com/
9,The Washinton Post,en,US,global,world,https://www.washingtonpost.com/
10,ABC News,en,US,global,world,http://abcnews.go.com/
11,CBS News,en,US,global,world,http://www.cbsnews.com/
12,Polygon,en,US,global,world,http://www.polygon.com/
13,Bloomberg News,en,US,global,world,http://www.bloomberg.com/
14,Business Insider,en,US,global,world,http://www.businessinsider.com/
15,All Africa,en,US,global,world,http://www.allafrica.com/
16,recode,en,US,global,world,http://recode.net/
17,Newsweek,en,US,global,world,http://www.newsweek.com/
18,The Huffington Post,en,US,global,world,http://www.huffingtonpost.com/
19,Forbes,en,US,global,world,http://www.forbes.com/
20,Fast Company,en,US,national,usa,http://www.fastcompany.com/
21,VOX,en,US,national,usa,http://www.vox.com/
22,Wall Street Journal,en,US,global,world,http://www.wsj.com/
23,CNN,en,US,global,world,http://cnn.com/
24,NPR,en,US,global,world,http://www.npr.org/
25,Medium,en,US,global,world,https://medium.com/
26,ThinkProgress,en,US,national,united states,https://thinkprogress.org/
27,The Mic,en,US,global,world,https://mic.com/
28,Scientific American,en,US,global,world,https://www.scientificamerican.com/
29,Salon,en,US,global,world,http://www.salon.com/
30,Chicago Tribune,en,US,national,united states,http://www.chicagotribune.com/
31,Second Nexus,en,US,global,world,http://secondnexus.com/
32,Tech Crunch,en,US,global,world,https://techcrunch.com/
33,Sputnik News,en,US,global,world,https://sputniknews.com/
34,Politico,en,US,national,united states,http://www.politico.com/
35,Slate,en,US,global,united states,http://www.slate.com/
36,The Hill,en,US,global,world,http://thehill.com/
37,CNET,en,US,global,world,https://www.cnet.com/
38,Science,en,US,global,world,http://www.sciencemag.org/
39,Los Angeles Times,en,US,national,united states,http://www.latimes.com/
40,The Atlantic,en,US,global,world,https://www.theatlantic.com/
41,USA Today,en,US,national,united states,http://www.usatoday.com/
42,Gizmodo,en,us,global,world,http://gizmodo.com/
43,io9,en,us,global,world,http://io9.gizmodo.com/
44,Mashable,en,us,global,world,http://mashable.com/
45,New York Post,en,us,global,world,http://nypost.com/
46,People Magazine,en,us,global,world,http://people.com/
47,Time Magazine,en,us,global,world,http://time.com/
48,Billboard,en,us,global,world,http://www.billboard.com/
49,ESPN,en,us,global,world,http://www.espn.com/
50,Fox News,en,us,global,world,http://www.foxnews.com/
51,Lifehacker,en,us,global,world,http://www.lifehacker.co.uk/
52,The Mirror,uk,uk,global,world,http://www.mirror.co.uk/
53,MSNBC,en,us,global,world,http://www.msnbc.com/
54,MTV,en,us,global,world,http://www.mtv.com/
55,National Geographic,en,us,global,world,http://www.nationalgeographic.com/
56,The Sun,uk,uk,global,world,https://www.thesun.co.uk/
57,Times Magazine,en,us,global,world,https://www.thetimes.co.uk/
58,Wired,en,us,global,world,https://www.wired.com/
59,Yahoo! News,en,us,global,world,https://yahoo.com/
60,Brand Channel,en,US,global,world,http://www.brandchannel.com/
61,ZDNet,en,US,global,world,http://www.zdnet.com/
62,Business Standard,en,IN,global,world,http://www.business-standard.com/
63,Greenpeace,en,NL,global,world,http://www.greenpeace.org/
64,CBC,en,CA,global,world,http://www.cbc.ca/
65,Transparency International,en,DE,global,world,http://www.transparency.org/
66,Thomson Reuters Foundation,en,GB,global,world,http://www.alertnet.org/
67,Center for Economic and Social Rights,en,US,global,world,http://www.cesr.org/
68,United Nations Security Council,en,US,global,world,http://www.un.org/
69,The Register,en,GB,global,world,http://www.theregister.co.uk/
70,Reuters,en,GB,global,world,http://www.reuters.com/
71,Associated Press,en,US,global,world,http://hosted.ap.org/
72,The Guardian,en,GB,global,world,https://www.theguardian.com/
73,The Independent,en,GB,global,world,http://www.independent.co.uk/
74,CRN,en,US,global,world,http://www.crn.com/
75,The Telegraph,en,GB,global,world,http://www.telegraph.co.uk/
76,CRN,en,US,global,world,http://www.crn.com/
77,CTV News,en,CA,global,world,http://www.ctvnews.ca/
78,news24,en,ZA,global,world,http://www.news24.com/
79,The Australian,en,AU,global,world,http://www.theaustralian.com.au/
80,Sydney Morning Herald,en,AU,national,australia,http://www.smh.com.au/
81,Der Spiegel (en),en,DE,global,world,http://www.spiegel.de/
82,Corriere Della Sera (en),en,IT,national,italy,http://www.corriere.it/
83,Seeking Alpha,en,US,global,world,http://seekingalpha.com/
84,China Daily,en,CN,national,china,http://www.chinadaily.com.cn/
85,Shanghai Daily,en,CN,national,china,http://www.shanghaidaily.com/
86,Triple Pundit,en,US,global,world,http://www.triplepundit.com/
87,Al Jazeera (en),en,QA,global,world,http://www.aljazeera.com/
88,The HK Standard,en,HK,national,hongkong,http://www.thestandard.com.hk/
89,Trends News Agency,en,AZ,global,world,http://en.trend.az/
90,The East African,en,KE,global,world,http://www.theeastafrican.co.ke/
91,Algeria Press Service,en,DZ,global,world,http://www.aps.dz/
92,Global Environment Facility,en,US,global,world,https://www.thegef.org/
93,Circulate News,en,US,global,world,http://circulatenews.org/
94,Airports International,en,US,global,world,http://www.airportsinternational.com/
95,Hindu Business Line,en,IN,national,india,http://www.thehindubusinessline.com/
96,Intl Business Times India,en,IN,global,world,http://www.ibtimes.co.in/
97,Agence France Presse,en,FR,global,world,https://www.afp.com/
98,Folha de S.Paolo (en),en,BR,national,brazil,http://www1.folha.uol.com.br/
99,Athens News Agency (en),en,GR,national,greece,http://www.amna.gr/
100,International Business Times US,en,US,global,world,http://www.ibtimes.com/
101,International Business Times UK,en,GB,global,world,http://www.ibtimes.co.uk/
102,Human Rights Watch,en,US,global,world,https://www.hrw.org/
103,The Toronto Star,en,CA,global,world,https://www.thestar.com/
104,SABC,en,ZA,global,world,http://www.sabc.co.za/
105,Punch,en,NG,global,world,http://www.punchng.com/
106,ABC au,en,AU,national,australia,http://www.abc.net.au/
107,EE Times,en,US,global,world,http://www.eetimes.com/
108,Asia One,en,SG,global,world,http://asiaone.com/
109,Above the Law,en,US,global,world,http://abovethelaw.com/
110,justmeans,en,US,global,world,http://www.justmeans.com/
111,National Post,en,CA,national,canada,http://www.nationalpost.com/
112,Xinhua,en,CN,national,china,http://www.chinaview.cn/
113,Amnesty International,en,GB,global,world,https://www.amnesty.org/
114,The Rio Times,en,BR,national,brazil,http://riotimesonline.com/
115,Buenos Aires Herald,en,AR,global,world,http://www.buenosairesherald.com/
116,The Japan Times,en,JP,global,world,http://www.japantimes.co.jp/
117,The Daily Nation,en,KE,global,world,http://www.nation.co.ke/
118,Haaretz,en,IL,national,israel,http://www.haaretz.com/
119,Pravda,en,RU,global,world,http://www.pravdareport.com/
120,The Moscow Times,en,RU,national,russia,http://www.themoscowtimes.com/
121,Nova Gazeta,en,RU,national,russia,http://en.novayagazeta.ru/
122,Helsinki Times,en,FI,national,finland,http://www.helsinkitimes.fi/
123,Globe News Wire,en,US,global,world,http://globenewswire.com/
124,Business of Fashion,en,US,global,world,https://www.businessoffashion.com/
125,Unicef,en,US,global,world,http://www.unicef.org/
126,San Francisco Chronicle,en,US,global,world,http://www.sfchronicle.com/
127,Christian Post,en,US,global,world,http://www.christianpost.com/
128,Star-Telegram,en,US,global,world,http://www.star-telegram.com/
129,Public Radio International,en,US,global,world,http://www.pri.org/
130,The Nation,en,US,global,world,https://www.thenation.com/
131,Times Record,en,US,global,world,http://www.swtimes.com/
132,Livescience,en,US,global,world,http://www.livescience.com/
133,The Daily Beast,en,US,global,world,http://www.thedailybeast.com/
134,Newsy,en,US,global,world,http://www.newsy.com/
135,Space.com,en,US,global,world,http://www.space.com/
136,Pro Publica,en,US,global,world,https://www.propublica.org/
137,Deseret News,en,US,local,world,http://www.deseretnews.com/
138,IT Wire ,en,US,global,world,http://www.itwire.com/
139,Tech News World,en,US,global,world,http://www.technewsworld.com/
140,EWeek,en,US,global,world,http://www.eweek.com/
141,Quanta Magazine,en,US,global,world,https://www.quantamagazine.org
142,Smithsonian.com,en,US,global,world,http://www.smithsonianmag.com/
143,Orlando Sentinel,en,US,local,world,http://www.orlandosentinel.com/
144,Newsday,en,US,global,world,http://www.newsday.com/
145,BNO News,en,US,global,world,http://bnonews.com/
146,DISCOVER Magazine,en,us,global,world,http://discovermagazine.com/
147,Adweek,en,us,global,world,http://www.adweek.com/
148,East Bay Times,en,us,local,world,http://www.eastbaytimes.com/
149,Empire Magazine,en,us,global,world,http://www.empireonline.com/
150,E! Magazine,en,us,global,world,http://www.eonline.com/
151,InStyle,en,us,global,world,http://www.instyle.co.uk/
152,The Oregonian,en,us,local,world,http://www.oregonlive.com/
153,Rolling Stone,en,us,global,world,http://www.rollingstone.com/
154,Science Channel,en,us,global,world,http://www.sciencechannel.com/
155,Social Media Today,en,us,global,world,http://www.socialmediatoday.com/
156,US Weekly,en,us,global,world,http://www.usmagazine.com/
157,Vanity Fair,en,us,global,world,http://www.vanityfair.com/
158,Engadget,en,us,global,world,https://www.engadget.com/
159,Financial Times,en,us,global,world,https://www.ft.com/
160,New Scientist,en,us,global,world,https://www.newscientist.com/
161,Science News,en,us,global,world,https://www.sciencenews.org/
162,The White House,en,us,global,world,https://www.whitehouse.gov/
