feed_id,source_id,name,feed_name,language,cca,coverage,covered_area,url,rss_url
1,121,Ars Technica,All,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/index
2,121,Ars Technica,Long Form,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/features
3,121,Ars Technica,Tech Policy,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/tech-policy
4,121,Ars Technica,Apple,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/apple
5,121,Ars Technica,Gaming,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/gaming
6,121,Ars Technica,Microsoft,en,US,global,world,,http://www.theverge.com/microsoft/rss/index.xml
7,121,Ars Technica,Science,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/science
8,121,Ars Technica,Cars,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/cars
9,121,Ars Technica,Open Source,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/open-source
10,121,Ars Technica,Microsoft,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/microsoft
11,121,Ars Technica,Telecom,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/telecom
12,121,Ars Technica,Web & Social,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/web
13,121,Ars Technica,Tech,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/technology-lab
14,121,Ars Technica,Security,en,US,global,world,,http://feeds.arstechnica.com/arstechnica/security
15,197,La Nación Argentina,La Nación Argentina,es,AR,global,world,,http://contenidos.lanacion.com.ar/herramientas/rss-categoria_id=272
16,197,La Nación Argentina,La Nación Argentina,es,AR,global,world,,http://contenidos.lanacion.com.ar/herramientas/rss-categoria_id=432
17,197,La Nación Argentina,La Nación Argentina,es,AR,global,world,,http://contenidos.lanacion.com.ar/herramientas/rss-categoria_id=347
18,67,Brand Channel,main,en,US,global,world,,http://brandchannel.com/feed/
19,57,ZDNet,apple,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675740/index.rss
20,57,ZDNet,indonesia biz tech,en,US,global,id,,http://zdnet.com.feedsportal.com/c/35462/f/675644/index.rss
21,57,ZDNet,benelux,en,US,global,eu,,http://zdnet.com.feedsportal.com/c/35462/f/675655/index.rss
22,57,ZDNet,italy,en,US,global,it,,http://zdnet.com.feedsportal.com/c/35462/f/675657/index.rss
23,57,ZDNet,new india,en,US,global,in,,http://zdnet.com.feedsportal.com/c/35462/f/675656/index.rss
24,57,ZDNet,estonia,en,US,global,ew,,http://zdnet.com.feedsportal.com/c/35462/f/675649/index.rss
25,57,ZDNet,iberia,en,US,global,es,,http://zdnet.com.feedsportal.com/c/35462/f/675651/index.rss
26,57,ZDNet,brazil,en,US,global,br,,http://zdnet.com.feedsportal.com/c/35462/f/675654/index.rss
27,57,ZDNet,london,en,US,global,uk,,http://zdnet.com.feedsportal.com/c/35462/f/675686/index.rss
28,57,ZDNet,blogs,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675633/index.rss
29,57,ZDNet,oracle,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675849/index.rss
30,57,ZDNet,ibm,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675805/index.rss
31,57,ZDNet,google,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675790/index.rss
32,57,ZDNet,apple core,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675719/index.rss
33,57,ZDNet,the german view,en,US,global,de,,http://zdnet.com.feedsportal.com/c/35462/f/675717/index.rss
34,57,ZDNet,latest news,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675634/index.rss
35,57,ZDNet,reviews,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675861/index.rss
36,57,ZDNet,articles,en,US,global,world,,http://zdnet.com.feedsportal.com/c/35462/f/675637/index.rss
37,57,ZDNet,stories australia,en,US,global,au,,http://zdnet.com.feedsportal.com/c/35462/f/675638/index.rss
38,57,ZDNet,stories uk,en,US,global,uk,,http://zdnet.com.feedsportal.com/c/35462/f/675639/index.rss
39,57,ZDNet,stories us,en,US,global,us,,http://zdnet.com.feedsportal.com/c/35462/f/675640/index.rss
40,57,ZDNet,asia biz,en,US,global,asia,,http://zdnet.com.feedsportal.com/c/35462/f/675641/index.rss
41,57,ZDNet,hong kong techie,en,US,global,hk,,http://zdnet.com.feedsportal.com/c/35462/f/675645/index.rss
42,57,ZDNet,africa,en,US,global,africa,,http://zdnet.com.feedsportal.com/c/35462/f/675658/index.rss
