source_id,name,language,cca,coverage,covered_area,url
1,3BL,en,US,global,world,https://www.3blmedia.com/
10,Algeria Press Service,en,DZ,global,world,http://www.aps.dz/
100,Action Aid,en,ZA,global,world,http://www.actionaid.org/
101,Thomson Reuters Foundation,en,GB,global,world,http://www.alertnet.org/
102,Center for Biological Diversity,en,US,global,world,http://www.biologicaldiversity.org/
103,Center for Economic and Social Rights,en,US,global,world,http://www.cesr.org/
104,Clean Clothes Campaign,en,NL,global,world,https://www.cleanclothes.org/
105,Earthrights International,en,US,global,world,http://www.earthrights.org/
106,BirdLife International,en,GB,global,world,http://www.birdlife.org/
107,Equal Employment Opportunity Commission,en,US,global,world,https://www1.eeoc.gov/
108,Fauna and Flora International,en,GB,global,world,http://www.fauna-flora.org/
109,International Labour Organisation,en,CH,global,world,http://www.ilo.org/
11,BBC,en,GB,global,world,http://www.bbc.co.uk/
110,International Rivers,en,US,global,world,http://www.irn.org/
111,BankTrack,en,NL,global,world,http://www.banktrack.org/
112,NGO Shipbreaking Platform,en,BE,global,world,http://www.shipbreakingplatform.org/
113,Shwe Gas movement,en,MM,global,world,http://www.shwe.org/
114,Southern Africa Resource Watch,en,ZA,national,south africa,http://www.sarwatch.org/
115,Survival International,en,GB,global,world,http://www.survival-international.org/
116,Tax Justice Network,en,GB,global,world,http://www.taxjustice.net/
117,Cadena Ser,es,ES,global,world,http://cadenaser.com/
118,United Nations Security Council,en,US,global,world,http://www.un.org/
119,ECA Watch,en,CA,global,world,http://www.eca-watch.org/
12,Bulgarian Telegraph Agency,en,BG,national,bulgaria,http://www.bta.bg/
120,The Verge,en,US,national,usa,http://www.theverge.com/
121,Ars Technica,en,US,global,world,http://www.arstechnica.com/
122,Polygon,en,US,global,world,http://www.polygon.com/
123,FiveThirtyEight,en,US,global,world,http://fivethirtyeight.com/
124,Focus Gaming News,en,US,global,world,http://focusgn.com/
125,The Register,en,GB,global,world,http://www.theregister.co.uk/
126,Ecouterre,en,US,global,world,http://www.ecouterre.com/
127,Ecotextile,en,NL,global,world,http://www.ecotextile.com/
128,Sourcing Journal,en,US,global,world,https://www.sourcingjournalonline.com/
129,VOX,en,US,national,usa,http://www.vox.com/
13,Buenos Aires Herald,en,AR,global,world,http://www.buenosairesherald.com/
130,The Drive,en,US,global,world,http://www.thedrive.com/
131,FiercePharma,en,US,global,world,http://www.fiercepharma.com/
132,FierceBiotech,en,US,global,world,http://www.fiercebiotech.com/
133,Airports World,en,GB,global,world,http://www.airport-world.com/
134,Airports International,en,US,global,world,http://www.airportsinternational.com/
135,Airport Watch,en,GB,global,world,http://www.airportwatch.org.uk/
136,Airport Business,en,GB,global,world,http://www.airport-business.com/
137,Airport Council International,en,BE,global,world,https://www.aci-europe.org/
138,ITBOB,en,US,global,world,http://www.itbestofbreed.com/
139,NPR,en,US,global,world,http://www.npr.org/
14,CBC,en,CA,global,world,http://www.cbc.ca/
140,NPR,en,US,global,world,https://medium.com/
141,El Pais,es,ES,global,world,http://economia.elpais.com/
142,El Cronista,es,MX,global,world,http://elcronista.mx/
143,Investing.com,es,ES,global,world,http://es.investing.com/
144,ACIR,es,MX,global,world,http://grupoacir.com.mx/
145,Sofia Globe,en,BG,national,bulgaria,http://www.sofiaglobe.com/
146,Offshore Energy Today,en,NL,global,world,http://www.offshoreenergytoday.com/
147,Offshore Engineer,en,US,global,world,http://www.oedigital.com/
148,Offshore Technology,en,GB,global,world,http://www.offshore-technology.com/
149,Natural Gas World,en,US,global,world,http://www.naturalgasworld.com/
15,CBS News,en,US,global,world,http://www.cbsnews.com/
150,bne Intellinews,en,US,global,world,http://www.intellinews.com/
151,Maritime Herald,en,BG,global,world,http://www.maritimeherald.com/
152,See News,en,BG,regional,eastern europe,https://www.seenews.com
153,Oil & Gas Journal,en,US,global,world,http://www.ogj.com/
154,USA Today,en,US,national,united states,http://www.usatoday.com/
155,Los Angeles Times,en,US,national,united states,http://www.latimes.com/
156,The Economist,en,GB,global,world,http://www.economist.com/
157,The Times of India,en,IN,global,world,http://timesofindia.indiatimes.com/
158,Chicago Tribune,en,US,national,united states,http://www.chicagotribune.com/
159,Houston Chronicle,en,US,national,united states,http://www.chron.com/
16,China Daily,en,CN,national,china,http://www.chinadaily.com.cn/
160,Daily Mail ,en,GB,national,united kingdom,http://www.dailymail.co.uk/
161,Live Mint,en,IN,global,world,http://www.livemint.com/
162,Nikkei Asia Review,en,JP,regional,asia,http://asia.nikkei.com/
163,The Asahi Shimbun,en,JP,regional,asia,http://www.asahi.com/ajw/
164,The Local,en,DE,national,germany,https://www.thelocal.de/
165,Deutsche Welle,en,DE,global,world,http://www.dw.com/
166,The Olive Press,en,ES,national,spain,http://www.theolivepress.es/
